Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,France, Montana , Medium ,1666,5.00,350.00,583100.00,52479.00,530621.00,433160.00,97461.00,01/05/2014,5, May ,2014
Small Business,France, Montana , Medium ,322,5.00,300.00,96600.00,8694.00,87906.00,80500.00,7406.00,01/09/2013,9, September ,2013
Channel Partners,Canada, Montana , Medium ,2321,5.00,12.00,27852.00,2506.68,25345.32,6963.00,18382.32,01/11/2014,11, November ,2014
Enterprise,France, Montana , Medium ,1857,5.00,125.00,232125.00,20891.25,211233.75,222840.00,-11606.25,01/11/2013,11, November ,2013
Government,Canada, Montana , Medium ,1611,5.00,7.00,11277.00,1014.93,10262.07,8055.00,2207.07,01/12/2013,12, December ,2013
Enterprise,United States of America, Montana , Medium ,2797,5.00,125.00,349625.00,31466.25,318158.75,335640.00,-17481.25,01/12/2014,12, December ,2014
Small Business,Germany, Montana , Medium ,334,5.00,300.00,100200.00,9018.00,91182.00,83500.00,7682.00,01/12/2013,12, December ,2013
Small Business,Mexico, Paseo , Medium ,2565,10.00,300.00,769500.00,69255.00,700245.00,641250.00,58995.00,01/01/2014,1, January ,2014
Government,Mexico, Paseo , Medium ,2417,10.00,350.00,845950.00,76135.50,769814.50,628420.00,141394.50,01/01/2014,1, January ,2014
Midmarket,United States of America, Paseo , Medium ,3675,10.00,15.00,55125.00,4961.25,50163.75,36750.00,13413.75,01/04/2014,4, April ,2014
Small Business,Canada, Paseo , Medium ,1094,10.00,300.00,328200.00,29538.00,298662.00,273500.00,25162.00,01/06/2014,6, June ,2014
Midmarket,France, Paseo , Medium ,1227,10.00,15.00,18405.00,1656.45,16748.55,12270.00,4478.55,01/10/2014,10, October ,2014
Channel Partners,Mexico, Paseo , Medium ,367,10.00,12.00,4404.00,396.36,4007.64,1101.00,2906.64,01/10/2013,10, October ,2013
Small Business,France, Paseo , Medium ,1324,10.00,300.00,397200.00,35748.00,361452.00,331000.00,30452.00,01/11/2014,11, November ,2014
Channel Partners,Germany, Paseo , Medium ,1775,10.00,12.00,21300.00,1917.00,19383.00,5325.00,14058.00,01/11/2013,11, November ,2013
Enterprise,United States of America, Paseo , Medium ,2797,10.00,125.00,349625.00,31466.25,318158.75,335640.00,-17481.25,01/12/2014,12, December ,2014
Midmarket,Mexico, Velo , Medium ,245,120.00,15.00,3675.00,330.75,3344.25,2450.00,894.25,01/05/2014,5, May ,2014
Small Business,Canada, Velo , Medium ,3793.5,120.00,300.00,1138050.00,102424.50,1035625.50,948375.00,87250.50,01/07/2014,7, July ,2014
Government,Germany, Velo , Medium ,1307,120.00,350.00,457450.00,41170.50,416279.50,339820.00,76459.50,01/07/2014,7, July ,2014
Enterprise,Canada, Velo , Medium ,567,120.00,125.00,70875.00,6378.75,64496.25,68040.00,-3543.75,01/09/2014,9, September ,2014
Enterprise,Mexico, Velo , Medium ,2110,120.00,125.00,263750.00,23737.50,240012.50,253200.00,-13187.50,01/09/2014,9, September ,2014
Government,Canada, Velo , Medium ,1269,120.00,350.00,444150.00,39973.50,404176.50,329940.00,74236.50,01/10/2014,10, October ,2014
Channel Partners,United States of America, VTT , Medium ,1956,250.00,12.00,23472.00,2112.48,21359.52,5868.00,15491.52,01/01/2014,1, January ,2014
Small Business,Germany, VTT , Medium ,2659,250.00,300.00,797700.00,71793.00,725907.00,664750.00,61157.00,01/02/2014,2, February ,2014
Government,United States of America, VTT , Medium ,1351.5,250.00,350.00,473025.00,42572.25,430452.75,351390.00,79062.75,01/04/2014,4, April ,2014
Channel Partners,Germany, VTT , Medium ,880,250.00,12.00,10560.00,950.40,9609.60,2640.00,6969.60,01/05/2014,5, May ,2014
Small Business,United States of America, VTT , Medium ,1867,250.00,300.00,560100.00,50409.00,509691.00,466750.00,42941.00,01/09/2014,9, September ,2014
Channel Partners,France, VTT , Medium ,2234,250.00,12.00,26808.00,2412.72,24395.28,6702.00,17693.28,01/09/2013,9, September ,2013
Midmarket,France, VTT , Medium ,1227,250.00,15.00,18405.00,1656.45,16748.55,12270.00,4478.55,01/10/2014,10, October ,2014
Enterprise,Mexico, VTT , Medium ,877,250.00,125.00,109625.00,9866.25,99758.75,105240.00,-5481.25,01/11/2014,11, November ,2014
Government,United States of America, Amarilla , Medium ,2071,260.00,350.00,724850.00,65236.50,659613.50,538460.00,121153.50,01/09/2014,9, September ,2014
Government,Canada, Amarilla , Medium ,1269,260.00,350.00,444150.00,39973.50,404176.50,329940.00,74236.50,01/10/2014,10, October ,2014
Midmarket,Germany, Amarilla , Medium ,970,260.00,15.00,14550.00,1309.50,13240.50,9700.00,3540.50,01/11/2013,11, November ,2013
Government,Mexico, Amarilla , Medium ,1694,260.00,20.00,33880.00,3049.20,30830.80,16940.00,13890.80,01/11/2014,11, November ,2014
Government,Germany, Carretera , Medium ,663,3.00,20.00,13260.00,1193.40,12066.60,6630.00,5436.60,01/05/2014,5, May ,2014
Government,Canada, Carretera , Medium ,819,3.00,7.00,5733.00,515.97,5217.03,4095.00,1122.03,01/07/2014,7, July ,2014
Channel Partners,Germany, Carretera , Medium ,1580,3.00,12.00,18960.00,1706.40,17253.60,4740.00,12513.60,01/09/2014,9, September ,2014
Government,Mexico, Carretera , Medium ,521,3.00,7.00,3647.00,328.23,3318.77,2605.00,713.77,01/12/2014,12, December ,2014
Government,United States of America, Paseo , Medium ,973,10.00,20.00,19460.00,1751.40,17708.60,9730.00,7978.60,01/03/2014,3, March ,2014
Government,Mexico, Paseo , Medium ,1038,10.00,20.00,20760.00,1868.40,18891.60,10380.00,8511.60,01/06/2014,6, June ,2014
Government,Germany, Paseo , Medium ,360,10.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,01/10/2014,10, October ,2014
Channel Partners,France, Velo , Medium ,1967,120.00,12.00,23604.00,2124.36,21479.64,5901.00,15578.64,01/03/2014,3, March ,2014
Midmarket,Mexico, Velo , Medium ,2628,120.00,15.00,39420.00,3547.80,35872.20,26280.00,9592.20,01/04/2014,4, April ,2014
Government,Germany, VTT , Medium ,360,250.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,01/10/2014,10, October ,2014
Government,France, VTT , Medium ,2682,250.00,20.00,53640.00,4827.60,48812.40,26820.00,21992.40,01/11/2013,11, November ,2013
Government,Mexico, VTT , Medium ,521,250.00,7.00,3647.00,328.23,3318.77,2605.00,713.77,01/12/2014,12, December ,2014
Government,Mexico, Amarilla , Medium ,1038,260.00,20.00,20760.00,1868.40,18891.60,10380.00,8511.60,01/06/2014,6, June ,2014
Midmarket,Canada, Amarilla , Medium ,1630.5,260.00,15.00,24457.50,2201.18,22256.33,16305.00,5951.33,01/07/2014,7, July ,2014
Channel Partners,France, Amarilla , Medium ,306,260.00,12.00,3672.00,330.48,3341.52,918.00,2423.52,01/12/2013,12, December ,2013
Channel Partners,United States of America, Carretera , High ,386,3.00,12.00,4632.00,463.20,4168.80,1158.00,3010.80,01/10/2013,10, October ,2013
Government,United States of America, Montana , High ,2328,5.00,7.00,16296.00,1629.60,14666.40,11640.00,3026.40,01/09/2014,9, September ,2014
Channel Partners,United States of America, Paseo , High ,386,10.00,12.00,4632.00,463.20,4168.80,1158.00,3010.80,01/10/2013,10, October ,2013
Enterprise,United States of America, Carretera , High ,3445.5,3.00,125.00,430687.50,43068.75,387618.75,413460.00,-25841.25,01/04/2014,4, April ,2014
Enterprise,France, Carretera , High ,1482,3.00,125.00,185250.00,18525.00,166725.00,177840.00,-11115.00,01/12/2013,12, December ,2013
Government,United States of America, Montana , High ,2313,5.00,350.00,809550.00,80955.00,728595.00,601380.00,127215.00,01/05/2014,5, May ,2014
Enterprise,United States of America, Montana , High ,1804,5.00,125.00,225500.00,22550.00,202950.00,216480.00,-13530.00,01/11/2013,11, November ,2013
Midmarket,France, Montana , High ,2072,5.00,15.00,31080.00,3108.00,27972.00,20720.00,7252.00,01/12/2014,12, December ,2014
Government,France, Paseo , High ,1954,10.00,20.00,39080.00,3908.00,35172.00,19540.00,15632.00,01/03/2014,3, March ,2014
Small Business,Mexico, Paseo , High ,591,10.00,300.00,177300.00,17730.00,159570.00,147750.00,11820.00,01/05/2014,5, May ,2014
Midmarket,France, Paseo , High ,2167,10.00,15.00,32505.00,3250.50,29254.50,21670.00,7584.50,01/10/2013,10, October ,2013
Government,Germany, Paseo , High ,241,10.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,01/10/2014,10, October ,2014
Midmarket,Germany, Velo , High ,681,120.00,15.00,10215.00,1021.50,9193.50,6810.00,2383.50,01/01/2014,1, January ,2014
Midmarket,Germany, Velo , High ,510,120.00,15.00,7650.00,765.00,6885.00,5100.00,1785.00,01/04/2014,4, April ,2014
Midmarket,United States of America, Velo , High ,790,120.00,15.00,11850.00,1185.00,10665.00,7900.00,2765.00,01/05/2014,5, May ,2014
Government,France, Velo , High ,639,120.00,350.00,223650.00,22365.00,201285.00,166140.00,35145.00,01/07/2014,7, July ,2014
Enterprise,United States of America, Velo , High ,1596,120.00,125.00,199500.00,19950.00,179550.00,191520.00,-11970.00,01/09/2014,9, September ,2014
Small Business,United States of America, Velo , High ,2294,120.00,300.00,688200.00,68820.00,619380.00,573500.00,45880.00,01/10/2013,10, October ,2013
Government,Germany, Velo , High ,241,120.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,01/10/2014,10, October ,2014
Government,Germany, Velo , High ,2665,120.00,7.00,18655.00,1865.50,16789.50,13325.00,3464.50,01/11/2014,11, November ,2014
Enterprise,Canada, Velo , High ,1916,120.00,125.00,239500.00,23950.00,215550.00,229920.00,-14370.00,01/12/2013,12, December ,2013
Small Business,France, Velo , High ,853,120.00,300.00,255900.00,25590.00,230310.00,213250.00,17060.00,01/12/2014,12, December ,2014
Enterprise,Mexico, VTT , High ,341,250.00,125.00,42625.00,4262.50,38362.50,40920.00,-2557.50,01/05/2014,5, May ,2014
Midmarket,Mexico, VTT , High ,641,250.00,15.00,9615.00,961.50,8653.50,6410.00,2243.50,01/07/2014,7, July ,2014
Government,United States of America, VTT , High ,2807,250.00,350.00,982450.00,98245.00,884205.00,729820.00,154385.00,01/08/2014,8, August ,2014
Small Business,Mexico, VTT , High ,432,250.00,300.00,129600.00,12960.00,116640.00,108000.00,8640.00,01/09/2014,9, September ,2014
Small Business,United States of America, VTT , High ,2294,250.00,300.00,688200.00,68820.00,619380.00,573500.00,45880.00,01/10/2013,10, October ,2013
Midmarket,France, VTT , High ,2167,250.00,15.00,32505.00,3250.50,29254.50,21670.00,7584.50,01/10/2013,10, October ,2013
Enterprise,Canada, VTT , High ,2529,250.00,125.00,316125.00,31612.50,284512.50,303480.00,-18967.50,01/11/2014,11, November ,2014
Government,Germany, VTT , High ,1870,250.00,350.00,654500.00,65450.00,589050.00,486200.00,102850.00,01/12/2013,12, December ,2013
Enterprise,United States of America, Amarilla , High ,579,260.00,125.00,72375.00,7237.50,65137.50,69480.00,-4342.50,01/01/2014,1, January ,2014
Government,Canada, Amarilla , High ,2240,260.00,350.00,784000.00,78400.00,705600.00,582400.00,123200.00,01/02/2014,2, February ,2014
Small Business,United States of America, Amarilla , High ,2993,260.00,300.00,897900.00,89790.00,808110.00,748250.00,59860.00,01/03/2014,3, March ,2014
Channel Partners,Canada, Amarilla , High ,3520.5,260.00,12.00,42246.00,4224.60,38021.40,10561.50,27459.90,01/04/2014,4, April ,2014
Government,Mexico, Amarilla , High ,2039,260.00,20.00,40780.00,4078.00,36702.00,20390.00,16312.00,01/05/2014,5, May ,2014
Channel Partners,Germany, Amarilla , High ,2574,260.00,12.00,30888.00,3088.80,27799.20,7722.00,20077.20,01/08/2014,8, August ,2014
Government,Canada, Amarilla , High ,707,260.00,350.00,247450.00,24745.00,222705.00,183820.00,38885.00,01/09/2014,9, September ,2014
Midmarket,France, Amarilla , High ,2072,260.00,15.00,31080.00,3108.00,27972.00,20720.00,7252.00,01/12/2014,12, December ,2014
Small Business,France, Amarilla , High ,853,260.00,300.00,255900.00,25590.00,230310.00,213250.00,17060.00,01/12/2014,12, December ,2014
Channel Partners,France, Carretera , High ,1198,3.00,12.00,14376.00,1581.36,12794.64,3594.00,9200.64,01/10/2013,10, October ,2013
Government,France, Paseo , High ,2532,10.00,7.00,17724.00,1949.64,15774.36,12660.00,3114.36,01/04/2014,4, April ,2014
Channel Partners,France, Paseo , High ,1198,10.00,12.00,14376.00,1581.36,12794.64,3594.00,9200.64,01/10/2013,10, October ,2013
Midmarket,Canada, Velo , High ,384,120.00,15.00,5760.00,633.60,5126.40,3840.00,1286.40,01/01/2014,1, January ,2014
Channel Partners,Germany, Velo , High ,472,120.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,01/10/2014,10, October ,2014
Government,United States of America, VTT , High ,1579,250.00,7.00,11053.00,1215.83,9837.17,7895.00,1942.17,01/03/2014,3, March ,2014
Channel Partners,Mexico, VTT , High ,1005,250.00,12.00,12060.00,1326.60,10733.40,3015.00,7718.40,01/09/2013,9, September ,2013
Midmarket,United States of America, Amarilla , High ,3199.5,260.00,15.00,47992.50,5279.18,42713.33,31995.00,10718.33,01/07/2014,7, July ,2014
Channel Partners,Germany, Amarilla , High ,472,260.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,01/10/2014,10, October ,2014
Channel Partners,Canada, Carretera , High ,1937,3.00,12.00,23244.00,2556.84,20687.16,5811.00,14876.16,01/02/2014,2, February ,2014
Government,Germany, Carretera , High ,792,3.00,350.00,277200.00,30492.00,246708.00,205920.00,40788.00,01/03/2014,3, March ,2014
Small Business,Germany, Carretera , High ,2811,3.00,300.00,843300.00,92763.00,750537.00,702750.00,47787.00,01/07/2014,7, July ,2014
Enterprise,France, Carretera , High ,2441,3.00,125.00,305125.00,33563.75,271561.25,292920.00,-21358.75,01/10/2014,10, October ,2014
Midmarket,Canada, Carretera , High ,1560,3.00,15.00,23400.00,2574.00,20826.00,15600.00,5226.00,01/11/2013,11, November ,2013
Government,Mexico, Carretera , High ,2706,3.00,7.00,18942.00,2083.62,16858.38,13530.00,3328.38,01/11/2013,11, November ,2013
Government,Germany, Montana , High ,766,5.00,350.00,268100.00,29491.00,238609.00,199160.00,39449.00,01/01/2014,1, January ,2014
Government,Germany, Montana , High ,2992,5.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,01/10/2013,10, October ,2013
Midmarket,Mexico, Montana , High ,2157,5.00,15.00,32355.00,3559.05,28795.95,21570.00,7225.95,01/12/2014,12, December ,2014
Small Business,Canada, Paseo , High ,873,10.00,300.00,261900.00,28809.00,233091.00,218250.00,14841.00,01/01/2014,1, January ,2014
Government,Mexico, Paseo , High ,1122,10.00,20.00,22440.00,2468.40,19971.60,11220.00,8751.60,01/03/2014,3, March ,2014
Government,Canada, Paseo , High ,2104.5,10.00,350.00,736575.00,81023.25,655551.75,547170.00,108381.75,01/07/2014,7, July ,2014
Channel Partners,Canada, Paseo , High ,4026,10.00,12.00,48312.00,5314.32,42997.68,12078.00,30919.68,01/07/2014,7, July ,2014
Channel Partners,France, Paseo , High ,2425.5,10.00,12.00,29106.00,3201.66,25904.34,7276.50,18627.84,01/07/2014,7, July ,2014
Government,Canada, Paseo , High ,2394,10.00,20.00,47880.00,5266.80,42613.20,23940.00,18673.20,01/08/2014,8, August ,2014
Midmarket,Mexico, Paseo , High ,1984,10.00,15.00,29760.00,3273.60,26486.40,19840.00,6646.40,01/08/2014,8, August ,2014
Enterprise,France, Paseo , High ,2441,10.00,125.00,305125.00,33563.75,271561.25,292920.00,-21358.75,01/10/2014,10, October ,2014
Government,Germany, Paseo , High ,2992,10.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,01/10/2013,10, October ,2013
Small Business,Canada, Paseo , High ,1366,10.00,300.00,409800.00,45078.00,364722.00,341500.00,23222.00,01/11/2014,11, November ,2014
Government,France, Velo , High ,2805,120.00,20.00,56100.00,6171.00,49929.00,28050.00,21879.00,01/09/2013,9, September ,2013
Midmarket,Mexico, Velo , High ,655,120.00,15.00,9825.00,1080.75,8744.25,6550.00,2194.25,01/09/2013,9, September ,2013
Government,Mexico, Velo , High ,344,120.00,350.00,120400.00,13244.00,107156.00,89440.00,17716.00,01/10/2013,10, October ,2013
Government,Canada, Velo , High ,1808,120.00,7.00,12656.00,1392.16,11263.84,9040.00,2223.84,01/11/2014,11, November ,2014
Channel Partners,France, VTT , High ,1734,250.00,12.00,20808.00,2288.88,18519.12,5202.00,13317.12,01/01/2014,1, January ,2014
Enterprise,Mexico, VTT , High ,554,250.00,125.00,69250.00,7617.50,61632.50,66480.00,-4847.50,01/01/2014,1, January ,2014
Government,Canada, VTT , High ,2935,250.00,20.00,58700.00,6457.00,52243.00,29350.00,22893.00,01/11/2013,11, November ,2013
Enterprise,Germany, Amarilla , High ,3165,260.00,125.00,395625.00,43518.75,352106.25,379800.00,-27693.75,01/01/2014,1, January ,2014
Government,Mexico, Amarilla , High ,2629,260.00,20.00,52580.00,5783.80,46796.20,26290.00,20506.20,01/01/2014,1, January ,2014
Enterprise,France, Amarilla , High ,1433,260.00,125.00,179125.00,19703.75,159421.25,171960.00,-12538.75,01/05/2014,5, May ,2014
Enterprise,Mexico, Amarilla , High ,947,260.00,125.00,118375.00,13021.25,105353.75,113640.00,-8286.25,01/09/2013,9, September ,2013
Government,Mexico, Amarilla , High ,344,260.00,350.00,120400.00,13244.00,107156.00,89440.00,17716.00,01/10/2013,10, October ,2013
Midmarket,Mexico, Amarilla , High ,2157,260.00,15.00,32355.00,3559.05,28795.95,21570.00,7225.95,01/12/2014,12, December ,2014
Government,United States of America, Paseo , High ,380,10.00,7.00,2660.00,292.60,2367.40,1900.00,467.40,01/09/2013,9, September ,2013
Government,Mexico, Carretera , High ,886,3.00,350.00,310100.00,37212.00,272888.00,230360.00,42528.00,01/06/2014,6, June ,2014
Enterprise,Canada, Carretera , High ,2416,3.00,125.00,302000.00,36240.00,265760.00,289920.00,-24160.00,01/09/2013,9, September ,2013
Enterprise,Mexico, Carretera , High ,2156,3.00,125.00,269500.00,32340.00,237160.00,258720.00,-21560.00,01/10/2014,10, October ,2014
Midmarket,Canada, Carretera , High ,2689,3.00,15.00,40335.00,4840.20,35494.80,26890.00,8604.80,01/11/2014,11, November ,2014
Midmarket,United States of America, Montana , High ,677,5.00,15.00,10155.00,1218.60,8936.40,6770.00,2166.40,01/03/2014,3, March ,2014
Small Business,France, Montana , High ,1773,5.00,300.00,531900.00,63828.00,468072.00,443250.00,24822.00,01/04/2014,4, April ,2014
Government,Mexico, Montana , High ,2420,5.00,7.00,16940.00,2032.80,14907.20,12100.00,2807.20,01/09/2014,9, September ,2014
Government,Canada, Montana , High ,2734,5.00,7.00,19138.00,2296.56,16841.44,13670.00,3171.44,01/10/2014,10, October ,2014
Government,Mexico, Montana , High ,1715,5.00,20.00,34300.00,4116.00,30184.00,17150.00,13034.00,01/10/2013,10, October ,2013
Small Business,France, Montana , High ,1186,5.00,300.00,355800.00,42696.00,313104.00,296500.00,16604.00,01/12/2013,12, December ,2013
Small Business,United States of America, Paseo , High ,3495,10.00,300.00,1048500.00,125820.00,922680.00,873750.00,48930.00,01/01/2014,1, January ,2014
Government,Mexico, Paseo , High ,886,10.00,350.00,310100.00,37212.00,272888.00,230360.00,42528.00,01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , High ,2156,10.00,125.00,269500.00,32340.00,237160.00,258720.00,-21560.00,01/10/2014,10, October ,2014
Government,Mexico, Paseo , High ,905,10.00,20.00,18100.00,2172.00,15928.00,9050.00,6878.00,01/10/2014,10, October ,2014
Government,Mexico, Paseo , High ,1715,10.00,20.00,34300.00,4116.00,30184.00,17150.00,13034.00,01/10/2013,10, October ,2013
Government,France, Paseo , High ,1594,10.00,350.00,557900.00,66948.00,490952.00,414440.00,76512.00,01/11/2014,11, November ,2014
Small Business,Germany, Paseo , High ,1359,10.00,300.00,407700.00,48924.00,358776.00,339750.00,19026.00,01/11/2014,11, November ,2014
Small Business,Mexico, Paseo , High ,2150,10.00,300.00,645000.00,77400.00,567600.00,537500.00,30100.00,01/11/2014,11, November ,2014
Government,Mexico, Paseo , High ,1197,10.00,350.00,418950.00,50274.00,368676.00,311220.00,57456.00,01/11/2014,11, November ,2014
Midmarket,Mexico, Paseo , High ,380,10.00,15.00,5700.00,684.00,5016.00,3800.00,1216.00,01/12/2013,12, December ,2013
Government,Mexico, Paseo , High ,1233,10.00,20.00,24660.00,2959.20,21700.80,12330.00,9370.80,01/12/2014,12, December ,2014
Government,Mexico, Velo , High ,1395,120.00,350.00,488250.00,58590.00,429660.00,362700.00,66960.00,01/07/2014,7, July ,2014
Government,United States of America, Velo , High ,986,120.00,350.00,345100.00,41412.00,303688.00,256360.00,47328.00,01/10/2014,10, October ,2014
Government,Mexico, Velo , High ,905,120.00,20.00,18100.00,2172.00,15928.00,9050.00,6878.00,01/10/2014,10, October ,2014
Channel Partners,Canada, VTT , High ,2109,250.00,12.00,25308.00,3036.96,22271.04,6327.00,15944.04,01/05/2014,5, May ,2014
Midmarket,France, VTT , High ,3874.5,250.00,15.00,58117.50,6974.10,51143.40,38745.00,12398.40,01/07/2014,7, July ,2014
Government,Canada, VTT , High ,623,250.00,350.00,218050.00,26166.00,191884.00,161980.00,29904.00,01/09/2013,9, September ,2013
Government,United States of America, VTT , High ,986,250.00,350.00,345100.00,41412.00,303688.00,256360.00,47328.00,01/10/2014,10, October ,2014
Enterprise,United States of America, VTT , High ,2387,250.00,125.00,298375.00,35805.00,262570.00,286440.00,-23870.00,01/11/2014,11, November ,2014
Government,Mexico, VTT , High ,1233,250.00,20.00,24660.00,2959.20,21700.80,12330.00,9370.80,01/12/2014,12, December ,2014
Government,United States of America, Amarilla , High ,270,260.00,350.00,94500.00,11340.00,83160.00,70200.00,12960.00,01/02/2014,2, February ,2014
Government,France, Amarilla , High ,3421.5,260.00,7.00,23950.50,2874.06,21076.44,17107.50,3968.94,01/07/2014,7, July ,2014
Government,Canada, Amarilla , High ,2734,260.00,7.00,19138.00,2296.56,16841.44,13670.00,3171.44,01/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , High ,2548,260.00,15.00,38220.00,4586.40,33633.60,25480.00,8153.60,01/11/2013,11, November ,2013
Government,France, Carretera , High ,2521.5,3.00,20.00,50430.00,6051.60,44378.40,25215.00,19163.40,01/01/2014,1, January ,2014
Channel Partners,Mexico, Montana , High ,2661,5.00,12.00,31932.00,3831.84,28100.16,7983.00,20117.16,01/05/2014,5, May ,2014
Government,Germany, Paseo , High ,1531,10.00,20.00,30620.00,3674.40,26945.60,15310.00,11635.60,01/12/2014,12, December ,2014
Government,France, VTT , High ,1491,250.00,7.00,10437.00,1252.44,9184.56,7455.00,1729.56,01/03/2014,3, March ,2014
Government,Germany, VTT , High ,1531,250.00,20.00,30620.00,3674.40,26945.60,15310.00,11635.60,01/12/2014,12, December ,2014
Channel Partners,Canada, Amarilla , High ,2761,260.00,12.00,33132.00,3975.84,29156.16,8283.00,20873.16,01/09/2013,9, September ,2013
Midmarket,United States of America, Carretera , High ,2567,3.00,15.00,38505.00,5005.65,33499.35,25670.00,7829.35,01/06/2014,6, June ,2014
Midmarket,United States of America, VTT , High ,2567,250.00,15.00,38505.00,5005.65,33499.35,25670.00,7829.35,01/06/2014,6, June ,2014
Government,Canada, Carretera , High ,923,3.00,350.00,323050.00,41996.50,281053.50,239980.00,41073.50,01/03/2014,3, March ,2014
Government,France, Carretera , High ,1790,3.00,350.00,626500.00,81445.00,545055.00,465400.00,79655.00,01/03/2014,3, March ,2014
Government,Germany, Carretera , High ,442,3.00,20.00,8840.00,1149.20,7690.80,4420.00,3270.80,01/09/2013,9, September ,2013
Government,United States of America, Montana , High ,982.5,5.00,350.00,343875.00,44703.75,299171.25,255450.00,43721.25,01/01/2014,1, January ,2014
Government,United States of America, Montana , High ,1298,5.00,7.00,9086.00,1181.18,7904.82,6490.00,1414.82,01/02/2014,2, February ,2014
Channel Partners,Mexico, Montana , High ,604,5.00,12.00,7248.00,942.24,6305.76,1812.00,4493.76,01/06/2014,6, June ,2014
Government,Mexico, Montana , High ,2255,5.00,20.00,45100.00,5863.00,39237.00,22550.00,16687.00,01/07/2014,7, July ,2014
Government,Canada, Montana , High ,1249,5.00,20.00,24980.00,3247.40,21732.60,12490.00,9242.60,01/10/2014,10, October ,2014
Government,United States of America, Paseo , High ,1438.5,10.00,7.00,10069.50,1309.04,8760.47,7192.50,1567.97,01/01/2014,1, January ,2014
Small Business,Germany, Paseo , High ,807,10.00,300.00,242100.00,31473.00,210627.00,201750.00,8877.00,01/01/2014,1, January ,2014
Government,United States of America, Paseo , High ,2641,10.00,20.00,52820.00,6866.60,45953.40,26410.00,19543.40,01/02/2014,2, February ,2014
Government,Germany, Paseo , High ,2708,10.00,20.00,54160.00,7040.80,47119.20,27080.00,20039.20,01/02/2014,2, February ,2014
Government,Canada, Paseo , High ,2632,10.00,350.00,921200.00,119756.00,801444.00,684320.00,117124.00,01/06/2014,6, June ,2014
Enterprise,Canada, Paseo , High ,1583,10.00,125.00,197875.00,25723.75,172151.25,189960.00,-17808.75,01/06/2014,6, June ,2014
Channel Partners,Mexico, Paseo , High ,571,10.00,12.00,6852.00,890.76,5961.24,1713.00,4248.24,01/07/2014,7, July ,2014
Government,France, Paseo , High ,2696,10.00,7.00,18872.00,2453.36,16418.64,13480.00,2938.64,01/08/2014,8, August ,2014
Midmarket,Canada, Paseo , High ,1565,10.00,15.00,23475.00,3051.75,20423.25,15650.00,4773.25,01/10/2014,10, October ,2014
Government,Canada, Paseo , High ,1249,10.00,20.00,24980.00,3247.40,21732.60,12490.00,9242.60,01/10/2014,10, October ,2014
Government,Germany, Paseo , High ,357,10.00,350.00,124950.00,16243.50,108706.50,92820.00,15886.50,01/11/2014,11, November ,2014
Channel Partners,Germany, Paseo , High ,1013,10.00,12.00,12156.00,1580.28,10575.72,3039.00,7536.72,01/12/2014,12, December ,2014
Midmarket,France, Velo , High ,3997.5,120.00,15.00,59962.50,7795.13,52167.38,39975.00,12192.38,01/01/2014,1, January ,2014
Government,Canada, Velo , High ,2632,120.00,350.00,921200.00,119756.00,801444.00,684320.00,117124.00,01/06/2014,6, June ,2014
Government,France, Velo , High ,1190,120.00,7.00,8330.00,1082.90,7247.10,5950.00,1297.10,01/06/2014,6, June ,2014
Channel Partners,Mexico, Velo , High ,604,120.00,12.00,7248.00,942.24,6305.76,1812.00,4493.76,01/06/2014,6, June ,2014
Midmarket,Germany, Velo , High ,660,120.00,15.00,9900.00,1287.00,8613.00,6600.00,2013.00,01/09/2013,9, September ,2013
Channel Partners,Mexico, Velo , High ,410,120.00,12.00,4920.00,639.60,4280.40,1230.00,3050.40,01/10/2014,10, October ,2014
Small Business,Mexico, Velo , High ,2605,120.00,300.00,781500.00,101595.00,679905.00,651250.00,28655.00,01/11/2013,11, November ,2013
Channel Partners,Germany, Velo , High ,1013,120.00,12.00,12156.00,1580.28,10575.72,3039.00,7536.72,01/12/2014,12, December ,2014
Enterprise,Canada, VTT , High ,1583,250.00,125.00,197875.00,25723.75,172151.25,189960.00,-17808.75,01/06/2014,6, June ,2014
Midmarket,Canada, VTT , High ,1565,250.00,15.00,23475.00,3051.75,20423.25,15650.00,4773.25,01/10/2014,10, October ,2014
Enterprise,Canada, Amarilla , High ,1659,260.00,125.00,207375.00,26958.75,180416.25,199080.00,-18663.75,01/01/2014,1, January ,2014
Government,France, Amarilla , High ,1190,260.00,7.00,8330.00,1082.90,7247.10,5950.00,1297.10,01/06/2014,6, June ,2014
Channel Partners,Mexico, Amarilla , High ,410,260.00,12.00,4920.00,639.60,4280.40,1230.00,3050.40,01/10/2014,10, October ,2014
